,customerid,Segment
0,17850.0,Mid-Value
1,12583.0,Low-Value
2,13408.0,Low-Value
3,13694.0,Low-Value
4,14307.0,Mid-Value
5,17920.0,Mid-Value
6,17968.0,Mid-Value
7,13047.0,Low-Value
8,14688.0,Low-Value
9,15311.0,Low-Value
10,18074.0,Low-Value
11,16250.0,Low-Value
12,12431.0,Low-Value
13,13767.0,Low-Value
14,13448.0,Low-Value
15,16218.0,Low-Value
16,16583.0,Low-Value
17,13758.0,Low-Value
18,15983.0,Low-Value
19,14849.0,Low-Value
20,17897.0,Low-Value
21,17377.0,Low-Value
22,13748.0,Low-Value
23,15100.0,Low-Value
24,15291.0,Low-Value
25,17809.0,Low-Value
26,14527.0,Low-Value
27,16098.0,Low-Value
28,17420.0,Low-Value
29,17548.0,Low-Value
30,13705.0,Low-Value
31,13747.0,Low-Value
32,17924.0,Low-Value
33,15513.0,Low-Value
34,12791.0,Low-Value
35,14045.0,Low-Value
36,13255.0,Low-Value
37,18085.0,Low-Value
38,16552.0,Low-Value
39,17181.0,Low-Value
40,17951.0,Low-Value
41,15862.0,Low-Value
42,17908.0,Low-Value
43,12838.0,Low-Value
44,14729.0,Low-Value
45,17511.0,Mid-Value
46,16210.0,Mid-Value
47,16029.0,Mid-Value
