,customerid,Segment
0,17850.0,High-Value
1,14527.0,High-Value
2,12471.0,High-Value
3,15601.0,High-Value
4,18041.0,High-Value
5,15640.0,High-Value
6,17757.0,High-Value
7,12841.0,High-Value
8,17954.0,High-Value
9,16725.0,High-Value
10,16033.0,High-Value
11,16931.0,High-Value
12,18118.0,High-Value
13,15570.0,High-Value
14,15867.0,High-Value
15,14081.0,High-Value
16,16161.0,High-Value
17,15039.0,High-Value
18,14667.0,High-Value
19,15356.0,High-Value
20,13319.0,High-Value
21,14796.0,High-Value
22,16713.0,High-Value
23,12766.0,High-Value
24,15358.0,High-Value
25,17530.0,High-Value
26,18116.0,High-Value
27,17126.0,High-Value
28,15044.0,High-Value
29,17338.0,High-Value
30,17231.0,High-Value
31,14415.0,High-Value
32,13458.0,High-Value
33,17811.0,High-Value
34,14587.0,High-Value
35,14978.0,High-Value
36,13001.0,High-Value
37,13742.0,High-Value
38,18125.0,High-Value
39,12472.0,Mid-Value
40,12682.0,Mid-Value
41,13069.0,Mid-Value
42,12567.0,Mid-Value
43,15808.0,Mid-Value
44,13174.0,Mid-Value
45,14085.0,Mid-Value
46,12681.0,Mid-Value
47,15498.0,Mid-Value
48,13488.0,Mid-Value
49,15005.0,Mid-Value
50,13148.0,Mid-Value
51,16923.0,Mid-Value
52,17611.0,Mid-Value
53,16686.0,Mid-Value
54,15719.0,Mid-Value
55,12501.0,Mid-Value
56,12539.0,Mid-Value
57,16222.0,Mid-Value
58,17337.0,Mid-Value
59,13334.0,Mid-Value
60,12433.0,Low-Value
61,15574.0,Low-Value
62,17341.0,Low-Value
63,17340.0,Low-Value
64,13081.0,Mid-Value
65,14800.0,Mid-Value
66,14505.0,Mid-Value
67,15379.0,Mid-Value
68,15464.0,Mid-Value
69,17284.0,Mid-Value
70,12583.0,Mid-Value
71,14688.0,Mid-Value
72,12431.0,Mid-Value
73,13408.0,Mid-Value
74,13767.0,Mid-Value
75,15513.0,Mid-Value
76,14849.0,Mid-Value
77,17377.0,Mid-Value
78,17346.0,Mid-Value
79,12921.0,Mid-Value
80,13468.0,Mid-Value
81,14092.0,Mid-Value
82,14060.0,Mid-Value
83,15544.0,Mid-Value
84,14180.0,Mid-Value
85,17567.0,Mid-Value
86,17838.0,Mid-Value
87,14031.0,Mid-Value
88,12971.0,Mid-Value
89,14443.0,Mid-Value
90,18168.0,Mid-Value
91,17961.0,Mid-Value
92,14210.0,Mid-Value
93,17787.0,Mid-Value
94,12395.0,Mid-Value
95,17243.0,Mid-Value
96,18055.0,Mid-Value
97,18109.0,Mid-Value
98,16839.0,Mid-Value
99,16814.0,Mid-Value
100,16393.0,Mid-Value
101,16143.0,Mid-Value
102,12720.0,Mid-Value
103,16422.0,Mid-Value
104,17677.0,Mid-Value
105,17428.0,Mid-Value
106,16638.0,Mid-Value
107,14189.0,Mid-Value
108,14825.0,Mid-Value
109,15078.0,Mid-Value
110,15002.0,Mid-Value
111,15024.0,Mid-Value
112,17675.0,Mid-Value
113,16904.0,Mid-Value
114,15858.0,Mid-Value
115,17419.0,Mid-Value
116,17591.0,Mid-Value
117,13078.0,Mid-Value
118,13050.0,Mid-Value
119,16779.0,Mid-Value
120,17706.0,Mid-Value
121,16558.0,Mid-Value
122,14051.0,Mid-Value
123,17213.0,Mid-Value
124,13113.0,Mid-Value
125,13077.0,Mid-Value
126,14030.0,Mid-Value
127,16700.0,Mid-Value
128,16011.0,Mid-Value
129,12721.0,Mid-Value
130,12621.0,Mid-Value
131,15856.0,Mid-Value
132,13102.0,Mid-Value
133,16255.0,Mid-Value
134,15811.0,Mid-Value
135,16907.0,Mid-Value
136,17576.0,Mid-Value
137,14702.0,Mid-Value
138,13230.0,Mid-Value
139,16265.0,Mid-Value
140,16019.0,Mid-Value
141,17865.0,Mid-Value
142,17085.0,Mid-Value
143,13668.0,Mid-Value
144,16726.0,Mid-Value
145,14639.0,Mid-Value
146,14961.0,Mid-Value
147,14057.0,Mid-Value
148,13178.0,Mid-Value
149,16191.0,Mid-Value
150,16556.0,Mid-Value
151,13097.0,Mid-Value
152,12867.0,Mid-Value
153,17230.0,Mid-Value
154,17214.0,Mid-Value
155,15615.0,Mid-Value
156,16705.0,Mid-Value
157,16746.0,Mid-Value
158,13534.0,Mid-Value
159,16945.0,Mid-Value
160,13004.0,Mid-Value
161,17315.0,Mid-Value
162,17358.0,Mid-Value
163,18245.0,Mid-Value
164,14099.0,Mid-Value
165,16875.0,Mid-Value
166,15046.0,Mid-Value
167,17114.0,Mid-Value
168,15059.0,Mid-Value
169,14755.0,Mid-Value
170,13862.0,Mid-Value
171,12359.0,Mid-Value
172,13246.0,Mid-Value
173,15687.0,Mid-Value
174,14329.0,Mid-Value
175,16843.0,Mid-Value
176,17609.0,Mid-Value
177,14895.0,Mid-Value
178,12727.0,Mid-Value
179,14534.0,Mid-Value
180,13168.0,Mid-Value
181,17075.0,Mid-Value
182,14701.0,Mid-Value
183,14659.0,Mid-Value
184,16897.0,Mid-Value
185,14502.0,Mid-Value
186,15058.0,Mid-Value
187,12477.0,Mid-Value
188,16745.0,Mid-Value
189,13725.0,Mid-Value
190,14048.0,Mid-Value
191,16951.0,Mid-Value
192,17537.0,Mid-Value
193,12462.0,Mid-Value
194,17686.0,Mid-Value
195,17282.0,Mid-Value
196,17050.0,Mid-Value
197,17472.0,Mid-Value
198,17667.0,Mid-Value
199,17571.0,Mid-Value
200,16431.0,Mid-Value
201,14530.0,Mid-Value
202,16494.0,Mid-Value
203,15382.0,Mid-Value
204,13151.0,Mid-Value
205,12714.0,Mid-Value
206,18172.0,Mid-Value
207,13744.0,Mid-Value
208,12988.0,Mid-Value
209,15065.0,Mid-Value
210,16980.0,Mid-Value
211,15146.0,Mid-Value
212,16014.0,Mid-Value
213,17994.0,Mid-Value
214,13421.0,Mid-Value
215,18196.0,Mid-Value
216,13285.0,Mid-Value
217,16940.0,Mid-Value
218,13047.0,Mid-Value
219,17920.0,Mid-Value
220,12868.0,Mid-Value
221,16456.0,Mid-Value
222,15235.0,Mid-Value
