,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'12 PENCIL SMALL TUBE WOODLAND'}),frozenset({'POSTAGE'}),0.036036036036036036,0.6306306306306306,0.036036036036036036,1.0,1.5857142857142856,0.013310607905202498,inf
1,frozenset({'3 HOOK PHOTO SHELF ANTIQUE WHITE'}),frozenset({'POSTAGE'}),0.036036036036036036,0.6306306306306306,0.036036036036036036,1.0,1.5857142857142856,0.013310607905202498,inf
2,"frozenset({'HOOK, 1 HANGER ,MAGIC GARDEN'})",frozenset({'5 HOOK HANGER MAGIC TOADSTOOL'}),0.036036036036036036,0.07207207207207207,0.036036036036036036,1.0,13.875,0.03343884424965506,inf
3,frozenset({'5 HOOK HANGER RED MAGIC TOADSTOOL'}),frozenset({'POSTAGE'}),0.06306306306306306,0.6306306306306306,0.05405405405405406,0.8571428571428573,1.359183673469388,0.014284554825095372,2.585585585585589
4,"frozenset({'HOOK, 1 HANGER ,MAGIC GARDEN'})",frozenset({'6 RIBBONS RUSTIC CHARM'}),0.036036036036036036,0.10810810810810811,0.036036036036036036,1.0,9.25,0.03214024835646457,inf
5,frozenset({'60 TEATIME FAIRY CAKE CASES'}),frozenset({'POSTAGE'}),0.04504504504504504,0.6306306306306306,0.036036036036036036,0.8,1.2685714285714287,0.007629250872494116,1.8468468468468473
6,frozenset({'ALARM CLOCK BAKELIKE PINK'}),frozenset({'REGENCY CAKESTAND 3 TIER'}),0.036036036036036036,0.21621621621621623,0.036036036036036036,1.0,4.625,0.02824446067689311,inf
7,frozenset({'ALARM CLOCK BAKELIKE PINK'}),frozenset({'ROSE COTTAGE KEEPSAKE BOX '}),0.036036036036036036,0.08108108108108109,0.036036036036036036,1.0,12.333333333333332,0.033114195276357436,inf
8,frozenset({'ALARM CLOCK BAKELIKE PINK'}),frozenset({'STRAWBERRY FAIRY CAKE TEAPOT'}),0.036036036036036036,0.07207207207207207,0.036036036036036036,1.0,13.875,0.03343884424965506,inf
9,frozenset({'ASSORTED EASTER GIFT TAGS'}),frozenset({'POSTAGE'}),0.036036036036036036,0.6306306306306306,0.036036036036036036,1.0,1.5857142857142856,0.013310607905202498,inf
