,customerid,Segment
0,17850.0,High-Value
1,17511.0,Mid-Value
2,16210.0,Mid-Value
3,17920.0,Mid-Value
4,17968.0,Mid-Value
5,13047.0,Low-Value
6,14688.0,Low-Value
7,15311.0,Low-Value
8,18074.0,Low-Value
9,16250.0,Low-Value
10,12431.0,Low-Value
11,13767.0,Low-Value
12,13448.0,Low-Value
13,16218.0,Low-Value
14,16583.0,Low-Value
15,13758.0,Low-Value
16,15983.0,Low-Value
17,14849.0,Low-Value
18,17897.0,Low-Value
19,17377.0,Low-Value
20,13748.0,Low-Value
21,15100.0,Low-Value
22,15291.0,Low-Value
23,17809.0,Low-Value
24,14527.0,Low-Value
25,16098.0,Low-Value
26,17420.0,Low-Value
27,17548.0,Low-Value
28,13705.0,Low-Value
29,13747.0,Low-Value
30,17924.0,Low-Value
31,15513.0,Low-Value
32,12791.0,Low-Value
33,14045.0,Low-Value
34,13255.0,Low-Value
35,18085.0,Low-Value
36,16552.0,Low-Value
37,17181.0,Low-Value
38,17951.0,Low-Value
39,15862.0,Low-Value
40,17908.0,Low-Value
41,12838.0,Low-Value
42,14729.0,Low-Value
43,12583.0,Low-Value
44,13408.0,Low-Value
45,13694.0,Low-Value
46,14307.0,Mid-Value
47,16029.0,Mid-Value
