,customerid,Recency,RecencyCluster,Frequency,FrequencyCluster,Revenue,RevenueCluster,OverallScore,Segment
0,17850.0,0,0,84,3,1499.339999999999,2,5,High-Value
1,17511.0,0,0,24,1,1825.74,2,3,Mid-Value
2,16210.0,0,0,14,1,2474.7399999999993,2,3,Mid-Value
3,17920.0,0,0,81,3,514.4099999999999,0,3,Mid-Value
4,17968.0,0,0,85,3,277.34999999999997,0,3,Mid-Value
5,13047.0,0,0,17,1,366.6300000000001,0,1,Low-Value
6,14688.0,0,0,19,1,444.98,0,1,Low-Value
7,15311.0,0,0,36,1,454.62999999999994,0,1,Low-Value
8,18074.0,0,0,13,1,489.6,0,1,Low-Value
9,16250.0,0,0,14,1,226.14,0,1,Low-Value
10,12431.0,0,0,14,1,358.25,0,1,Low-Value
11,13767.0,0,0,14,1,507.8800000000001,0,1,Low-Value
12,13448.0,0,0,18,1,443.96000000000004,0,1,Low-Value
13,16218.0,0,0,28,1,471.29999999999995,0,1,Low-Value
14,16583.0,0,0,14,1,233.45000000000002,0,1,Low-Value
15,13758.0,0,0,17,1,362.45000000000005,0,1,Low-Value
16,15983.0,0,0,32,1,440.89,0,1,Low-Value
17,14849.0,0,0,17,1,355.8399999999999,0,1,Low-Value
18,17897.0,0,0,36,1,191.39,0,1,Low-Value
19,17377.0,0,0,15,1,223.90000000000003,0,1,Low-Value
20,13748.0,0,0,1,0,204.0,0,0,Low-Value
21,15100.0,0,0,1,0,350.4,0,0,Low-Value
22,15291.0,0,0,2,0,328.8,0,0,Low-Value
23,17809.0,0,0,1,0,34.8,0,0,Low-Value
24,14527.0,0,0,1,0,27.5,0,0,Low-Value
25,16098.0,0,0,12,0,430.59999999999997,0,0,Low-Value
26,17420.0,0,0,7,0,130.85,0,0,Low-Value
27,17548.0,0,0,7,0,141.48000000000002,0,0,Low-Value
28,13705.0,0,0,10,0,318.14000000000004,0,0,Low-Value
29,13747.0,0,0,1,0,79.6,0,0,Low-Value
30,17924.0,0,0,2,0,279.0,0,0,Low-Value
31,15513.0,0,0,3,0,357.0,0,0,Low-Value
32,12791.0,0,0,2,0,192.60000000000002,0,0,Low-Value
33,14045.0,0,0,1,0,326.4,0,0,Low-Value
34,13255.0,0,0,6,0,225.7,0,0,Low-Value
35,18085.0,0,0,9,0,303.90000000000003,0,0,Low-Value
36,16552.0,0,0,5,0,95.29,0,0,Low-Value
37,17181.0,0,0,2,0,155.52,0,0,Low-Value
38,17951.0,0,0,5,0,295.50000000000006,0,0,Low-Value
39,15862.0,0,0,64,2,354.2299999999999,0,2,Low-Value
40,17908.0,0,0,58,2,243.2799999999999,0,2,Low-Value
41,12838.0,0,0,59,2,390.78999999999985,0,2,Low-Value
42,14729.0,0,0,55,2,268.36999999999995,0,2,Low-Value
43,12583.0,0,0,20,1,855.86,1,2,Low-Value
44,13408.0,0,0,11,0,1024.6800000000003,1,1,Low-Value
45,13694.0,0,0,6,0,842.12,1,1,Low-Value
46,14307.0,0,0,48,2,783.1099999999999,1,3,Mid-Value
47,16029.0,0,0,8,0,3702.12,3,3,Mid-Value
